Location,Date,Product_ID,Product_Name,Brand,Quantity (liters/kg),MRP,Total_Value,Shelf_Life (days),Storage_Condition,Production_Date,Expiration_Date,Quantity_Sold (liters/kg),Price_per_Unit (sold),Approx_Total_Revenue(INR),Customer_Location,Sales_Channel,Quantity_in_Stock (liters/kg)
Chandigarh,12/17/2019,10,Ghee,Amul,838.85,61.21,51346.0085,147,Ambient,12/7/2019,5/2/2020,392,61.22,23998.24,Jharkhand,Wholesale,446
Delhi,8/24/2019,2,Butter,Mother Dairy,791.17,45.01,35610.5617,37,Frozen,8/8/2019,9/14/2019,534,48.01,25637.34,Chandigarh,Wholesale,257
Uttar Pradesh,11/7/2021,1,Milk,Mother Dairy,62.79,95.03,5966.9337,21,Tetra Pack,9/17/2021,10/8/2021,16,93.22,1491.52,Bihar,Wholesale,46
Gujarat,4/15/2020,4,Yogurt,Amul,931.71,45.36,42262.3656,26,Refrigerated,4/9/2020,5/5/2020,834,40.97,34168.98,Gujarat,Wholesale,97
Uttar Pradesh,9/10/2020,7,Lassi,Raj,398.09,22.2,8837.598,14,Refrigerated,7/22/2020,8/5/2020,304,23.26,7071.04,Uttar Pradesh,Online,94
Rajasthan,9/10/2021,4,Yogurt,Mother Dairy,548.97,27.07,14860.6179,25,Refrigerated,8/31/2021,9/25/2021,386,25.29,9761.94,Telangana,Online,162
Maharashtra,5/11/2019,4,Yogurt,Amul,357.6,68.17,24377.592,27,Frozen,3/25/2019,4/21/2019,9,65.87,592.83,Chandigarh,Wholesale,348
Chandigarh,10/11/2021,10,Ghee,Raj,455.19,44.64,20319.6816,144,Ambient,9/10/2021,2/1/2022,420,48.13,20214.6,Madhya Pradesh,Online,35
Jharkhand,6/15/2022,1,Milk,Raj,156.97,81.7,12824.449,1,Polythene Packet,6/6/2022,6/7/2022,103,80.26,8266.78,Chandigarh,Retail,53
Bihar,9/14/2020,6,Curd,Sudha,120.72,44.7,5396.184,5,Refrigerated,8/5/2020,8/10/2020,78,48.75,3802.5,Bihar,Online,42
Karnataka,7/10/2022,8,Buttermilk,Sudha,23.96,53.76,1288.0896,11,Refrigerated,5/31/2022,6/11/2022,23,56.57,1301.11,Madhya Pradesh,Online,0
Delhi,5/11/2020,1,Milk,Sudha,373.21,38.88,14510.4048,1,Polythene Packet,5/10/2020,5/11/2020,166,36.18,6005.88,Rajasthan,Retail,207
Chandigarh,8/3/2019,6,Curd,Mother Dairy,551.14,64.01,35278.4714,5,Refrigerated,6/16/2019,6/21/2019,203,65.1,13215.3,Telangana,Wholesale,348
Maharashtra,6/25/2021,4,Yogurt,Mother Dairy,595.93,35.46,21131.6778,27,Frozen,6/12/2021,7/9/2021,54,34.78,1878.12,Madhya Pradesh,Online,541
Haryana,7/2/2022,1,Milk,Amul,928.93,50.94,47319.6942,22,Tetra Pack,5/26/2022,6/17/2022,869,54.74,47569.06,Jharkhand,Online,59
Karnataka,10/9/2020,8,Buttermilk,Raj,118.22,20.18,2385.6796,12,Refrigerated,9/19/2020,10/1/2020,84,15.64,1313.76,Jharkhand,Online,34
Uttar Pradesh,7/13/2019,3,Cheese,Amul,197.25,99.96,19717.11,29,Refrigerated,6/8/2019,7/7/2019,150,100.74,15111,Jharkhand,Wholesale,47
Gujarat,3/10/2020,5,Ice Cream,Palle2patnam,69.59,95.3,6631.927,28,Frozen,2/20/2020,3/19/2020,36,98.67,3552.12,Gujarat,Retail,33
Uttar Pradesh,4/2/2019,2,Butter,Amul,705.44,77.71,54819.7424,40,Refrigerated,2/17/2019,3/29/2019,279,80.91,22573.89,Tamil Nadu,Retail,426
Jharkhand,6/9/2020,6,Curd,Amul,336.47,65.23,21947.9381,6,Refrigerated,4/18/2020,4/24/2020,108,61.59,6651.72,West Bengal,Wholesale,228
Jharkhand,10/3/2021,4,Yogurt,Mother Dairy,616.07,80.74,49741.4918,27,Frozen,9/1/2021,9/28/2021,362,83.85,30353.7,Uttar Pradesh,Wholesale,254
West Bengal,8/17/2020,10,Ghee,Mother Dairy,343.94,43.79,15061.1326,135,Ambient,7/21/2020,12/3/2020,320,43.76,14003.2,Karnataka,Retail,23
Jharkhand,1/5/2022,1,Milk,Sudha,999.78,49.06,49049.2068,2,Polythene Packet,12/19/2021,12/21/2021,499,48.14,24021.86,Rajasthan,Online,500
Rajasthan,10/18/2022,3,Cheese,Amul,211.51,63.08,13342.0508,59,Refrigerated,8/28/2022,10/26/2022,206,64.22,13229.32,West Bengal,Online,5
Uttar Pradesh,5/15/2022,4,Yogurt,Palle2patnam,504.33,76.58,38621.5914,28,Refrigerated,4/20/2022,5/18/2022,490,81.37,39871.3,Delhi,Retail,14
Gujarat,8/25/2021,2,Butter,Parag Milk Foods,535.1,13.66,7309.466,39,Frozen,7/8/2021,8/16/2021,18,8.83,158.94,Jharkhand,Retail,517
Uttar Pradesh,3/11/2019,10,Ghee,Sudha,729.21,16.37,11937.1677,85,Ambient,2/18/2019,5/14/2019,458,12.86,5889.88,Rajasthan,Wholesale,271
Maharashtra,11/1/2020,8,Buttermilk,Sudha,149.16,86.32,12875.4912,13,Refrigerated,10/19/2020,11/1/2020,140,81.47,11405.8,Uttar Pradesh,Online,9
Gujarat,9/6/2019,9,Paneer,Raj,674.12,43.22,29135.4664,11,Refrigerated,8/13/2019,8/24/2019,230,42.79,9841.7,Gujarat,Retail,444
Tamil Nadu,9/16/2020,3,Cheese,Dynamix Dairies,627.29,28.93,18147.4997,30,Refrigerated,9/1/2020,10/1/2020,465,29.8,13857,West Bengal,Online,162
Madhya Pradesh,10/25/2019,6,Curd,Raj,865.53,45.95,39771.1035,7,Refrigerated,8/30/2019,9/6/2019,581,49.38,28689.78,Telangana,Wholesale,284
West Bengal,11/10/2019,8,Buttermilk,Raj,582.19,52.51,30570.7969,13,Refrigerated,10/1/2019,10/14/2019,556,53.75,29885,Madhya Pradesh,Retail,26
Karnataka,11/23/2022,1,Milk,Sudha,280.1,78.72,22049.472,29,Tetra Pack,11/20/2022,12/19/2022,163,75.83,12360.29,Rajasthan,Retail,117
Kerala,5/6/2020,7,Lassi,Sudha,331.3,67.3,22296.49,12,Refrigerated,4/7/2020,4/19/2020,135,67.91,9167.85,Delhi,Retail,196
Delhi,11/23/2019,1,Milk,Sudha,229.17,29.49,6758.2233,28,Tetra Pack,10/28/2019,11/25/2019,159,34.04,5412.36,Kerala,Wholesale,70
West Bengal,7/22/2022,3,Cheese,Dynamix Dairies,38.2,75.82,2896.324,44,Refrigerated,6/9/2022,7/23/2022,3,77.91,233.73,Rajasthan,Online,35
Gujarat,7/5/2021,6,Curd,Amul,242.26,26.85,6504.681,7,Refrigerated,7/1/2021,7/8/2021,158,25.72,4063.76,Jharkhand,Retail,84
Madhya Pradesh,10/18/2022,3,Cheese,Britannia Industries,898.01,25.44,22845.3744,82,Frozen,9/4/2022,11/25/2022,674,27.1,18265.4,Uttar Pradesh,Online,224
Chandigarh,2/27/2020,7,Lassi,Amul,648.13,99.03,64184.3139,16,Refrigerated,1/8/2020,1/24/2020,597,103.49,61783.53,Kerala,Retail,51
Tamil Nadu,11/16/2019,10,Ghee,Mother Dairy,303.9,35.1,10666.89,147,Ambient,10/5/2019,2/29/2020,296,36.16,10703.36,Rajasthan,Wholesale,7
Uttar Pradesh,11/13/2022,2,Butter,Parag Milk Foods,615.24,95.65,58847.706,28,Frozen,9/23/2022,10/21/2022,281,96.42,27094.02,Delhi,Retail,334
Gujarat,4/21/2022,1,Milk,Raj,105.47,27.19,2867.7293,1,Polythene Packet,3/5/2022,3/6/2022,50,27,1350,West Bengal,Wholesale,55
Chandigarh,4/21/2022,4,Yogurt,Amul,928.58,82.34,76459.2772,24,Refrigerated,3/31/2022,4/24/2022,552,78.38,43265.76,Gujarat,Retail,376
Karnataka,6/16/2020,4,Yogurt,Dodla Dairy,862.73,98.65,85108.3145,23,Refrigerated,6/11/2020,7/4/2020,7,99.66,697.62,Chandigarh,Online,855
Jharkhand,8/21/2021,1,Milk,Sudha,904.53,21.58,19519.7574,2,Polythene Packet,7/13/2021,7/15/2021,129,22.4,2889.6,Maharashtra,Online,775
Karnataka,1/9/2019,9,Paneer,Mother Dairy,969.09,61.34,59443.9806,7,Refrigerated,12/8/2018,12/15/2018,779,60.15,46856.85,Kerala,Wholesale,190
Rajasthan,8/13/2022,3,Cheese,Amul,215.99,27.78,6000.2022,74,Refrigerated,7/24/2022,10/6/2022,39,23.87,930.93,Madhya Pradesh,Wholesale,176
Delhi,6/5/2019,8,Buttermilk,Sudha,394.68,85.32,33674.0976,12,Refrigerated,6/3/2019,6/15/2019,104,81.24,8448.96,West Bengal,Online,290
Chandigarh,1/26/2019,1,Milk,Mother Dairy,86.33,48.91,4222.4003,28,Tetra Pack,12/11/2018,1/8/2019,84,45.16,3793.44,Rajasthan,Online,2
Chandigarh,6/9/2021,3,Cheese,Amul,448.41,64.9,29101.809,39,Refrigerated,4/12/2021,5/21/2021,36,63.9,2300.4,Maharashtra,Online,412
Tamil Nadu,12/19/2022,8,Buttermilk,Mother Dairy,959.1,80.71,77408.961,14,Refrigerated,12/9/2022,12/23/2022,263,81.78,21508.14,Rajasthan,Retail,696
Delhi,11/18/2020,5,Ice Cream,Amul,950.71,38.42,36526.2782,24,Frozen,11/1/2020,11/25/2020,459,36.69,16840.71,Gujarat,Retail,491
Madhya Pradesh,12/27/2019,5,Ice Cream,Dodla Dairy,661.7,76.05,50322.285,29,Frozen,12/8/2019,1/6/2020,275,73.34,20168.5,Chandigarh,Online,386
Chandigarh,5/11/2022,8,Buttermilk,Sudha,682.38,46.2,31525.956,8,Refrigerated,4/17/2022,4/25/2022,313,41.5,12989.5,Uttar Pradesh,Wholesale,369
Kerala,4/4/2021,1,Milk,Sudha,662.83,73.51,48724.6333,23,Tetra Pack,3/21/2021,4/13/2021,131,75.47,9886.57,Uttar Pradesh,Online,531
Delhi,7/18/2020,8,Buttermilk,Raj,41.39,67.85,2808.3115,13,Refrigerated,5/19/2020,6/1/2020,9,65.07,585.63,Gujarat,Online,32
Bihar,11/11/2021,6,Curd,Sudha,408.73,34.92,14272.8516,7,Refrigerated,11/1/2021,11/8/2021,187,34,6358,Chandigarh,Online,221
Chandigarh,3/13/2019,6,Curd,Raj,576.03,58.83,33887.8449,5,Refrigerated,2/19/2019,2/24/2019,332,62.34,20696.88,West Bengal,Retail,244
Delhi,3/1/2022,1,Milk,Sudha,59.99,51.59,3094.8841,27,Tetra Pack,2/25/2022,3/24/2022,22,51.83,1140.26,Karnataka,Online,37
Maharashtra,11/19/2019,2,Butter,Parag Milk Foods,771.93,19.17,14797.8981,33,Frozen,10/26/2019,11/28/2019,554,15.52,8598.08,Chandigarh,Retail,217
West Bengal,8/21/2020,8,Buttermilk,Sudha,833.58,20.43,17030.0394,10,Refrigerated,7/28/2020,8/7/2020,463,16.51,7644.13,Madhya Pradesh,Retail,370
Telangana,3/2/2021,6,Curd,Mother Dairy,520.56,91.25,47501.1,7,Refrigerated,1/5/2021,1/12/2021,358,91.27,32674.66,Uttar Pradesh,Online,162
Delhi,9/3/2022,3,Cheese,Dynamix Dairies,252.87,85.18,21539.4666,81,Refrigerated,8/8/2022,10/28/2022,137,87.69,12013.53,Gujarat,Wholesale,115
Maharashtra,6/10/2021,9,Paneer,Amul,571.27,59.43,33950.5761,7,Refrigerated,4/15/2021,4/22/2021,217,64.24,13940.08,Rajasthan,Retail,354
Madhya Pradesh,11/18/2019,7,Lassi,Amul,333.33,16.94,5646.6102,13,Refrigerated,9/25/2019,10/8/2019,127,12.67,1609.09,Madhya Pradesh,Wholesale,206
Madhya Pradesh,5/9/2022,3,Cheese,Amul,541.95,76.59,41507.9505,50,Frozen,3/20/2022,5/9/2022,467,79.62,37182.54,Tamil Nadu,Online,74
Gujarat,3/2/2021,9,Paneer,Sudha,374.12,49.82,18638.6584,8,Refrigerated,2/7/2021,2/15/2021,148,51.77,7661.96,Tamil Nadu,Wholesale,226
Telangana,4/12/2022,3,Cheese,Dynamix Dairies,956.86,19.12,18295.1632,55,Frozen,2/18/2022,4/14/2022,505,14.62,7383.1,Chandigarh,Online,451
Chandigarh,5/17/2022,1,Milk,Amul,571.63,93.68,53550.2984,1,Polythene Packet,5/3/2022,5/4/2022,480,98.2,47136,Karnataka,Online,91
Tamil Nadu,1/5/2022,1,Milk,Sudha,234.32,14.61,3423.4152,21,Tetra Pack,1/2/2022,1/23/2022,190,16.3,3097,Telangana,Wholesale,44
Jharkhand,6/21/2019,1,Milk,Raj,62.47,94.83,5924.0301,1,Polythene Packet,5/30/2019,5/31/2019,48,90.06,4322.88,Delhi,Wholesale,14
Tamil Nadu,2/20/2020,5,Ice Cream,Mother Dairy,249.49,89.82,22409.1918,25,Frozen,1/28/2020,2/22/2020,180,87.33,15719.4,Bihar,Retail,69
Bihar,2/19/2019,2,Butter,Warana,351.25,51.05,17931.3125,32,Frozen,1/15/2019,2/16/2019,350,51,17850,Maharashtra,Wholesale,1
Uttar Pradesh,7/4/2022,5,Ice Cream,Palle2patnam,653.12,60.52,39526.8224,23,Frozen,5/27/2022,6/19/2022,148,61.4,9087.2,West Bengal,Online,505
Maharashtra,10/28/2020,10,Ghee,Mother Dairy,306.96,81.46,25004.9616,92,Ambient,9/10/2020,12/11/2020,62,78.91,4892.42,Karnataka,Wholesale,244
Karnataka,4/6/2019,2,Butter,Parag Milk Foods,332.23,30.78,10226.0394,40,Frozen,3/26/2019,5/5/2019,328,27.15,8905.2,Telangana,Wholesale,4
Uttar Pradesh,12/18/2019,1,Milk,Amul,313.25,32.66,10230.745,1,Polythene Packet,11/21/2019,11/22/2019,73,32.72,2388.56,Rajasthan,Online,240
Tamil Nadu,2/24/2019,6,Curd,Amul,488.83,42.69,20868.1527,6,Refrigerated,2/13/2019,2/19/2019,167,41.02,6850.34,Delhi,Wholesale,321
Chandigarh,7/21/2021,10,Ghee,Sudha,93.31,86.93,8111.4383,68,Ambient,5/25/2021,8/1/2021,76,89.11,6772.36,West Bengal,Online,17
Madhya Pradesh,6/16/2020,2,Butter,Amul,901.18,53.26,47996.8468,34,Refrigerated,5/1/2020,6/4/2020,637,51.25,32646.25,Bihar,Wholesale,264
West Bengal,10/23/2019,10,Ghee,Mother Dairy,51.63,52.64,2717.8032,62,Ambient,8/29/2019,10/30/2019,37,53.69,1986.53,Rajasthan,Online,14
Uttar Pradesh,10/7/2022,3,Cheese,Amul,254,31.29,7947.66,59,Frozen,8/26/2022,10/24/2022,222,34.02,7552.44,Delhi,Wholesale,32
Haryana,1/3/2021,2,Butter,Amul,650.03,57.57,37422.2271,31,Frozen,12/2/2020,1/2/2021,74,52.88,3913.12,Karnataka,Online,576
Karnataka,9/26/2019,4,Yogurt,Dodla Dairy,365.86,69.14,25295.5604,25,Refrigerated,7/31/2019,8/25/2019,286,65.31,18678.66,Maharashtra,Online,79
Madhya Pradesh,11/21/2022,1,Milk,Mother Dairy,448.09,75.81,33969.7029,2,Polythene Packet,11/18/2022,11/20/2022,329,71.75,23605.75,Haryana,Wholesale,119
Gujarat,9/1/2022,10,Ghee,Amul,346.96,60.81,21098.6376,86,Ambient,8/6/2022,10/31/2022,127,60.5,7683.5,Delhi,Retail,219
Kerala,2/6/2022,6,Curd,Mother Dairy,120.49,82.44,9933.1956,6,Refrigerated,12/22/2021,12/28/2021,25,81.53,2038.25,Uttar Pradesh,Wholesale,95
Tamil Nadu,6/15/2022,10,Ghee,Raj,338,35.93,12144.34,63,Ambient,4/20/2022,6/22/2022,15,31.92,478.8,Kerala,Online,323
Bihar,3/15/2020,4,Yogurt,Amul,727.93,36.85,26824.2205,23,Refrigerated,2/29/2020,3/23/2020,578,33.43,19322.54,Bihar,Retail,149
Rajasthan,1/26/2022,4,Yogurt,Amul,537.05,48.49,26041.5545,30,Frozen,12/24/2021,1/23/2022,69,51.52,3554.88,Delhi,Retail,468
Kerala,7/13/2020,8,Buttermilk,Mother Dairy,171.89,42.04,7226.2556,8,Refrigerated,6/24/2020,7/2/2020,150,46.04,6906,Haryana,Wholesale,21
Delhi,11/22/2022,3,Cheese,Amul,351.92,31.84,11205.1328,63,Refrigerated,10/8/2022,12/10/2022,27,28.5,769.5,West Bengal,Retail,324
Maharashtra,1/26/2022,1,Milk,Sudha,833.04,37.3,31072.392,22,Tetra Pack,12/28/2021,1/19/2022,280,40.12,11233.6,Gujarat,Online,553
West Bengal,2/13/2022,9,Paneer,Raj,164.66,61.72,10162.8152,14,Refrigerated,12/25/2021,1/8/2022,14,57.35,802.9,Maharashtra,Retail,150
